,gatal,perubahan_warna,luka,kemerahan,mengelupas,kering,kebas,bengkak,benjolan,nyeri,rambut_rontok,sensitif,bekas_luka,infeksi_jamur,perubahan_sensasi
Acne Vulgaris,kadang,ya,tidak,ya,kadang,tidak,tidak,kadang,ya,ya,tidak,ya,kadang,tidak,tidak
Psoriasis,ya,ya,kadang,ya,ya,ya,tidak,kadang,tidak,kadang,kadang,ya,ya,tidak,kadang
Dermatitis Atopik (Eczema),ya,ya,kadang,ya,ya,ya,tidak,kadang,tidak,kadang,tidak,ya,kadang,tidak,kadang
Seborrheic Dermatitis,ya,ya,tidak,ya,ya,kadang,tidak,tidak,tidak,kadang,ya,kadang,tidak,kadang,tidak
Rosacea,kadang,ya,tidak,ya,kadang,kadang,tidak,kadang,kadang,kadang,tidak,ya,tidak,tidak,kadang
Tinea (Infeksi Jamur),ya,ya,tidak,ya,ya,kadang,tidak,tidak,tidak,kadang,kadang,kadang,kadang,ya,tidak
Ringworm (Tinea Corporis),ya,ya,tidak,ya,ya,kadang,tidak,tidak,tidak,kadang,tidak,kadang,kadang,ya,tidak
Athlete's Foot (Tinea Pedis),ya,kadang,kadang,ya,ya,ya,kadang,kadang,tidak,ya,tidak,ya,tidak,ya,ya
Impetigo,kadang,kadang,ya,ya,ya,tidak,tidak,kadang,tidak,kadang,tidak,ya,ya,tidak,tidak
Lichen Planus,ya,ya,kadang,ya,ya,tidak,tidak,tidak,kadang,kadang,ya,ya,ya,tidak,tidak
Vitiligo,tidak,ya,tidak,kadang,tidak,kadang,tidak,tidak,tidak,tidak,tidak,kadang,tidak,tidak,tidak
Hives (Urticaria),ya,ya,tidak,ya,tidak,tidak,tidak,ya,tidak,kadang,tidak,ya,tidak,tidak,kadang
Contact Dermatitis,ya,ya,kadang,ya,ya,ya,tidak,kadang,tidak,ya,tidak,ya,kadang,tidak,kadang
Shingles (Herpes Zoster),ya,ya,ya,ya,kadang,tidak,ya,kadang,tidak,ya,tidak,ya,ya,tidak,ya
Chickenpox (Varicella),ya,kadang,ya,ya,ya,tidak,tidak,kadang,tidak,kadang,tidak,ya,kadang,tidak,tidak
Cold Sores (Herpes Simplex Virus),kadang,kadang,ya,ya,ya,kadang,kadang,kadang,tidak,ya,tidak,ya,ya,tidak,kadang
Molluscum Contagiosum,kadang,ya,tidak,kadang,tidak,tidak,tidak,tidak,ya,tidak,tidak,tidak,kadang,tidak,tidak
Scabies (Gatal-gatal),ya,kadang,kadang,ya,kadang,tidak,tidak,kadang,tidak,kadang,tidak,ya,kadang,tidak,kadang
Psoriatic Arthritis,ya,ya,kadang,ya,ya,ya,ya,ya,ya,ya,kadang,ya,ya,tidak,ya
Keloids,kadang,ya,tidak,ya,tidak,tidak,tidak,tidak,ya,kadang,tidak,ya,ya,tidak,kadang
Skin Cancer (Kanker Kulit),kadang,ya,ya,kadang,kadang,kadang,kadang,kadang,ya,kadang,tidak,kadang,ya,tidak,kadang
Basal Cell Carcinoma,tidak,ya,ya,kadang,kadang,tidak,tidak,tidak,ya,kadang,tidak,tidak,ya,tidak,tidak
Squamous Cell Carcinoma,kadang,ya,ya,ya,kadang,kadang,tidak,kadang,ya,kadang,tidak,kadang,ya,tidak,kadang
Melanoma,kadang,ya,kadang,kadang,kadang,tidak,tidak,tidak,ya,kadang,tidak,kadang,ya,tidak,tidak
Acne Rosacea,kadang,ya,tidak,ya,kadang,kadang,tidak,kadang,kadang,kadang,tidak,ya,kadang,tidak,tidak
Actinic Keratosis,kadang,ya,kadang,ya,ya,ya,tidak,tidak,kadang,kadang,tidak,ya,ya,tidak,tidak
Xerosis,ya,kadang,kadang,kadang,ya,ya,tidak,tidak,tidak,kadang,tidak,ya,tidak,tidak,kadang
Alopecia Areata,kadang,ya,tidak,kadang,tidak,tidak,tidak,tidak,tidak,kadang,ya,kadang,tidak,tidak,tidak
Telogen Effluvium,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,ya,tidak,tidak,tidak,tidak
Trichotillomania,kadang,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,kadang,ya,tidak,kadang,tidak,tidak
Lupus,kadang,ya,kadang,ya,kadang,kadang,kadang,kadang,kadang,kadang,ya,ya,ya,tidak,kadang
Erythema Multiforme,kadang,ya,ya,ya,ya,tidak,kadang,kadang,tidak,ya,tidak,ya,kadang,tidak,kadang
Pityriasis Rosea,ya,ya,tidak,ya,ya,kadang,tidak,tidak,tidak,kadang,tidak,kadang,tidak,tidak,tidak
Fungal Nail Infection (Onychomycosis),kadang,ya,kadang,kadang,ya,kadang,tidak,kadang,tidak,kadang,tidak,kadang,tidak,ya,kadang
Candidiasis,ya,ya,kadang,ya,kadang,tidak,tidak,ya,tidak,ya,tidak,ya,kadang,ya,tidak
Seborrheic Keratosis,kadang,ya,tidak,kadang,ya,kadang,tidak,tidak,ya,kadang,tidak,kadang,tidak,tidak,tidak
Warts (Kutil),kadang,ya,tidak,kadang,kadang,tidak,tidak,tidak,ya,kadang,tidak,kadang,kadang,tidak,kadang
Miliaria (Panas Dalam),ya,ya,tidak,ya,kadang,tidak,tidak,kadang,tidak,kadang,tidak,ya,tidak,tidak,tidak
Pachyonychia Congenita,tidak,ya,kadang,kadang,ya,ya,kadang,tidak,kadang,ya,tidak,kadang,kadang,kadang,kadang
Keratosis Pilaris,kadang,kadang,tidak,kadang,ya,ya,tidak,tidak,kadang,tidak,tidak,kadang,tidak,tidak,tidak
Hidradenitis Suppurativa,kadang,ya,ya,ya,tidak,tidak,tidak,ya,ya,ya,tidak,ya,ya,kadang,tidak
Angioma,tidak,ya,tidak,ya,tidak,tidak,tidak,tidak,ya,kadang,tidak,kadang,tidak,tidak,tidak
Erythema Nodosum,kadang,ya,tidak,ya,tidak,tidak,kadang,ya,ya,ya,tidak,ya,kadang,tidak,kadang
Dermatofibroma,kadang,ya,tidak,kadang,tidak,tidak,tidak,tidak,ya,kadang,tidak,kadang,ya,tidak,kadang
Lichen Sclerosus,ya,ya,kadang,ya,ya,ya,kadang,kadang,tidak,ya,tidak,ya,ya,tidak,ya
Basanofilaria,tidak,ya,tidak,kadang,tidak,tidak,kadang,kadang,ya,kadang,tidak,kadang,kadang,tidak,kadang
