Penyakit,perasaan_sedih,sedih_berkelanjutan,kehilangan_minat,kehilangan_minat_durasi,kecemasan_berlebihan,cemas_mengganggu,serangan_panik,gejala_fisik_panik,gangguan_tidur,tipe_gangguan_tidur,mudah_marah,kontrol_emosi,sulit_konsentrasi,konsentrasi_mengganggu,perubahan_nafsu_makan,nafsu_makan_meningkat,pikiran_menyakiti_diri,rencana_bunuh_diri,perasaan_tidak_berharga,bersalah_persisten,menarik_diri,isolasi_sengaja,delusi,tipe_delusi,halusinasi,jenis_halusinasi,perubahan_suasana_hati,mood_swing_cepat,perilaku_kompulsif,waktu_kompulsi,kehilangan_motivasi,kehilangan_energi_fisik,takut_sosial,menghindari_sosial,kecanduan,dampak_kecanduan,masalah_identitas,perubahan_identitas,perilaku_impulsif,menyesal_impulsif,disosiasi,disosiasi_sering,mimpi_buruk,mimpi_trauma,ketergantungan_emosional,takut_ditinggalkan,kesulitan_fungsi,bantuan_fungsi,gejala_somatik,intensitas_somatik
Depresi Mayor,ya,ya,ya,ya,kadang,kadang,kadang,kadang,ya,kadang,kadang,kadang,ya,ya,ya,kadang,kadang,kadang,ya,ya,ya,ya,kadang,tidak,kadang,kadang,kadang,tidak,kadang,tidak,ya,ya,kadang,kadang,kadang,kadang,ya,kadang,kadang,kadang,kadang,tidak,kadang,kadang,kadang,kadang,kadang,kadang,ya,kadang
Depresi Persisten / Distimia,ya,ya,ya,ya,kadang,kadang,kadang,kadang,ya,kadang,kadang,kadang,ya,ya,ya,kadang,kadang,kadang,ya,ya,ya,ya,kadang,tidak,kadang,kadang,kadang,tidak,kadang,tidak,ya,ya,kadang,kadang,kadang,kadang,ya,kadang,kadang,kadang,kadang,tidak,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang
Gangguan Bipolar I,ya,ya,kadang,kadang,kadang,kadang,tidak,tidak,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,tidak,ya,ya,kadang,kadang,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,ya,kadang,kadang,kadang,kadang,kadang,ya,kadang,tidak,tidak,tidak,tidak,tidak,tidak,kadang,kadang,ya,ya,kadang,tidak
Gangguan Bipolar II,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,ya,ya,ya,ya,ya,ya,ya,ya,kadang,kadang,kadang,kadang,kadang,kadang,ya,kadang,ya,kadang,ya,ya,kadang,kadang,ya,ya,kadang,kadang,kadang,kadang,kadang,ya,ya,ya,ya,kadang,kadang,kadang,kadang,kadang,ya,ya,ya,kadang
Cyclothymic Disorder,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,ya,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,tidak,tidak,tidak,tidak,ya,kadang,kadang,tidak,ya,kadang,kadang,kadang,kadang,kadang,ya,kadang,ya,kadang,ya,kadang,kadang,tidak,kadang,kadang,kadang,kadang,kadang,kadang
Seasonal Affective Disorder,kadang,tidak,kadang,tidak,kadang,kadang,tidak,tidak,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,tidak,tidak,kadang,kadang,kadang,kadang,tidak,tidak,tidak,tidak,ya,ya,tidak,tidak,kadang,kadang,kadang,tidak,kadang,kadang,kadang,kadang,ya,ya,kadang,kadang,tidak,tidak,kadang,kadang,kadang,kadang,kadang,tidak
Gangguan Disforik Pramenstruasi,ya,ya,ya,kadang,kadang,kadang,tidak,tidak,ya,tidak,kadang,kadang,kadang,kadang,ya,ya,kadang,tidak,kadang,kadang,kadang,kadang,tidak,tidak,tidak,tidak,kadang,tidak,tidak,tidak,ya,ya,kadang,kadang,tidak,tidak,kadang,tidak,tidak,tidak,tidak,tidak,tidak,tidak,kadang,tidak,kadang,kadang,kadang,tidak
Gangguan Suasana Hati karena Zat / Obat,kadang,tidak,kadang,tidak,kadang,kadang,kadang,kadang,kadang,kadang,ya,ya,kadang,kadang,kadang,ya,tidak,tidak,kadang,tidak,kadang,kadang,tidak,tidak,tidak,tidak,ya,kadang,tidak,tidak,kadang,kadang,kadang,kadang,tidak,tidak,kadang,tidak,tidak,tidak,kadang,tidak,tidak,tidak,kadang,tidak,kadang,kadang,tidak,tidak
Gangguan Mood karena Kondisi Medis Umum,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,ya,kadang,ya,ya,kadang,kadang,kadang,kadang,kadang,tidak,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,ya,kadang,kadang,tidak,kadang,kadang,kadang,kadang,ya,ya,kadang,kadang,kadang,kadang,ya,ya,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang
Gangguan Regulasi Mood Disruptif,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,ya,kadang,kadang,kadang,kadang,kadang,kadang,kadang,kadang,tidak,kadang,kadang,kadang,kadang,kadang,tidak,kadang,tidak,kadang,kadang,tidak,tidak,ya,ya,kadang,kadang,tidak,tidak,kadang,kadang,tidak,tidak,kadang,tidak,tidak,tidak,kadang,tidak,ya,ya,kadang,kadang
