Penyakit,nyeri_perut,kembung,mual,muntah,diare,konstipasi,perubahan_bab,feses_berdarah,nyeri_bab,penurunan_nafsu_makan,penurunan_bb,heartburn,regurgitasi,sulit_menelan,nyeri_menelan,rasa_pahit_mulut,kenyang_cepat,kentut_berlebihan,kulit_kuning,gatal_tubuh,urin_gelap,feses_pucat,demam,gejala_anemia,perut_berdebar
Gastroesophageal Reflux Disease (GERD),kadang,kadang,kadang,kadang,tidak,tidak,tidak,tidak,tidak,kadang,tidak,ya,ya,kadang,kadang,ya,kadang,kadang,tidak,tidak,tidak,tidak,tidak,kadang,kadang
Esofagitis (radang esofagus),kadang,tidak,kadang,kadang,tidak,tidak,tidak,kadang,tidak,kadang,kadang,ya,kadang,ya,ya,kadang,tidak,tidak,tidak,tidak,tidak,tidak,kadang,kadang,tidak
Akalasia,kadang,kadang,kadang,kadang,tidak,tidak,tidak,tidak,tidak,ya,ya,kadang,ya,ya,kadang,kadang,ya,tidak,tidak,tidak,tidak,tidak,tidak,kadang,tidak
Varises esofagus,kadang,tidak,kadang,ya,tidak,tidak,kadang,ya,tidak,kadang,kadang,tidak,tidak,kadang,kadang,tidak,tidak,tidak,kadang,tidak,kadang,tidak,tidak,ya,tidak
Striktur esofagus,tidak,kadang,kadang,kadang,tidak,tidak,tidak,tidak,tidak,kadang,kadang,kadang,ya,ya,kadang,tidak,ya,tidak,tidak,tidak,tidak,tidak,tidak,kadang,tidak
Barrett's esophagus,kadang,kadang,kadang,kadang,tidak,tidak,tidak,kadang,tidak,kadang,kadang,ya,ya,kadang,kadang,ya,tidak,tidak,tidak,tidak,tidak,tidak,tidak,kadang,tidak
Kanker esofagus,kadang,kadang,kadang,kadang,tidak,tidak,tidak,kadang,tidak,ya,ya,kadang,ya,ya,ya,kadang,ya,tidak,tidak,tidak,tidak,tidak,kadang,ya,tidak
Esofagus ruptur (Boerhaave syndrome),ya,ya,ya,ya,tidak,tidak,tidak,kadang,tidak,ya,tidak,ya,kadang,ya,ya,kadang,tidak,tidak,tidak,tidak,tidak,tidak,ya,kadang,tidak
Divertikulum Zenker,tidak,kadang,kadang,kadang,tidak,tidak,tidak,tidak,tidak,kadang,kadang,kadang,ya,ya,kadang,kadang,kadang,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak
Esofagospasme difus,kadang,kadang,kadang,kadang,tidak,tidak,tidak,tidak,tidak,kadang,kadang,ya,kadang,ya,ya,kadang,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak,tidak
Gastritis akut,ya,ya,ya,kadang,kadang,tidak,kadang,kadang,tidak,ya,tidak,kadang,kadang,tidak,tidak,kadang,ya,kadang,tidak,tidak,tidak,tidak,kadang,kadang,kadang
Gastritis kronis,ya,ya,ya,kadang,kadang,kadang,kadang,kadang,tidak,ya,kadang,kadang,kadang,tidak,tidak,kadang,ya,kadang,tidak,tidak,tidak,tidak,tidak,ya,kadang
Ulkus gaster (tukak lambung),ya,kadang,ya,kadang,tidak,tidak,kadang,ya,tidak,ya,kadang,kadang,kadang,tidak,tidak,kadang,ya,tidak,tidak,tidak,tidak,tidak,tidak,ya,kadang
Ulkus duodenum,ya,kadang,kadang,kadang,tidak,tidak,kadang,kadang,tidak,kadang,kadang,kadang,kadang,tidak,tidak,kadang,kadang,tidak,tidak,tidak,tidak,tidak,tidak,kadang,kadang
Gastroparesis,ya,ya,ya,ya,kadang,kadang,ya,tidak,tidak,ya,ya,kadang,ya,kadang,tidak,kadang,ya,kadang,tidak,tidak,tidak,tidak,tidak,kadang,ya
Dispepsia fungsional,ya,ya,ya,kadang,kadang,kadang,kadang,tidak,tidak,kadang,kadang,kadang,kadang,tidak,tidak,kadang,ya,ya,tidak,tidak,tidak,tidak,tidak,tidak,ya
Kanker lambung,ya,ya,ya,kadang,kadang,kadang,kadang,ya,tidak,ya,ya,kadang,kadang,kadang,kadang,kadang,ya,tidak,tidak,tidak,tidak,tidak,kadang,ya,kadang
